PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	nonoverlap.noca_only.csv (440)	nonoverlap.noca_only.csv (expected)	nonoverlap.noca_only.csv (over/under)	nonoverlap.noca_only.csv (fold Enrichment)	P-value
intraciliary retrograde transport (GO:0035721)	6	0	0.21	-	 < 0.01	1.00E+00
acrosome reaction (GO:0007340)	1	0	0.04	-	 < 0.01	1.00E+00
carbohydrate derivative transport (GO:1901264)	24	0	0.85	-	 < 0.01	1.00E+00
amide transport (GO:0042886)	10	0	0.35	-	 < 0.01	1.00E+00
positive regulation of axonogenesis (GO:0050772)	6	0	0.21	-	 < 0.01	1.00E+00
mitochondrial RNA processing (GO:0000963)	7	0	0.25	-	 < 0.01	1.00E+00
cGMP-mediated signaling (GO:0019934)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of axonogenesis (GO:0050770)	14	0	0.5	-	 < 0.01	1.00E+00
binding of sperm to zona pellucida (GO:0007339)	1	0	0.04	-	 < 0.01	1.00E+00
bone mineralization (GO:0030282)	1	0	0.04	-	 < 0.01	1.00E+00
single fertilization (GO:0007338)	6	0	0.21	-	 < 0.01	1.00E+00
regulation of neuronal synaptic plasticity (GO:0048168)	8	0	0.28	-	 < 0.01	1.00E+00
cellular response to unfolded protein (GO:0034620)	20	0	0.71	-	 < 0.01	1.00E+00
mitochondrial protein processing (GO:0034982)	4	0	0.14	-	 < 0.01	1.00E+00
positive regulation of neurogenesis (GO:0050769)	21	0	0.74	-	 < 0.01	1.00E+00
mitochondrial RNA metabolic process (GO:0000959)	14	0	0.5	-	 < 0.01	1.00E+00
regulation of neurogenesis (GO:0050767)	34	0	1.2	-	 < 0.01	6.33E-01
intermembrane lipid transfer (GO:0120009)	2	0	0.07	-	 < 0.01	1.00E+00
negative regulation of cAMP-mediated signaling (GO:0043951)	2	0	0.07	-	 < 0.01	1.00E+00
polyamine biosynthetic process (GO:0006596)	6	0	0.21	-	 < 0.01	1.00E+00
polyamine metabolic process (GO:0006595)	7	0	0.25	-	 < 0.01	1.00E+00
response to tumor necrosis factor (GO:0034612)	7	0	0.25	-	 < 0.01	1.00E+00
lipid storage (GO:0019915)	4	0	0.14	-	 < 0.01	1.00E+00
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	17	0	0.6	-	 < 0.01	1.00E+00
regulation of cAMP-mediated signaling (GO:0043949)	2	0	0.07	-	 < 0.01	1.00E+00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	0	0.14	-	 < 0.01	1.00E+00
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	24	0	0.85	-	 < 0.01	1.00E+00
cellular response to heat (GO:0034605)	5	0	0.18	-	 < 0.01	1.00E+00
catecholamine metabolic process (GO:0006584)	6	0	0.21	-	 < 0.01	1.00E+00
pyrimidine nucleotide metabolic process (GO:0006220)	12	0	0.42	-	 < 0.01	1.00E+00
regulation of cell killing (GO:0031341)	2	0	0.07	-	 < 0.01	1.00E+00
lipid modification (GO:0030258)	66	0	2.34	-	 < 0.01	1.76E-01
protein-DNA complex assembly (GO:0065004)	32	0	1.13	-	 < 0.01	6.29E-01
"positive regulation of DNA-templated transcription, elongation (GO:0032786)"	10	0	0.35	-	 < 0.01	1.00E+00
intracellular protein transmembrane transport (GO:0065002)	17	0	0.6	-	 < 0.01	1.00E+00
regulation of DNA-templated transcription elongation (GO:0032784)	14	0	0.5	-	 < 0.01	1.00E+00
biogenic amine metabolic process (GO:0006576)	18	0	0.64	-	 < 0.01	1.00E+00
negative regulation of protein-containing complex assembly (GO:0031333)	24	0	0.85	-	 < 0.01	1.00E+00
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	2	0	0.07	-	 < 0.01	1.00E+00
tyrosine metabolic process (GO:0006570)	6	0	0.21	-	 < 0.01	1.00E+00
non-canonical NF-kappaB signal transduction (GO:0038061)	4	0	0.14	-	 < 0.01	1.00E+00
carbohydrate homeostasis (GO:0033500)	9	0	0.32	-	 < 0.01	1.00E+00
lysosome localization (GO:0032418)	5	0	0.18	-	 < 0.01	1.00E+00
positive regulation of transporter activity (GO:0032411)	12	0	0.42	-	 < 0.01	1.00E+00
pyrimidine nucleobase catabolic process (GO:0006208)	5	0	0.18	-	 < 0.01	1.00E+00
pyrimidine nucleobase metabolic process (GO:0006206)	9	0	0.32	-	 < 0.01	1.00E+00
myofibril assembly (GO:0030239)	26	0	0.92	-	 < 0.01	1.00E+00
actomyosin contractile ring assembly (GO:0000915)	4	0	0.14	-	 < 0.01	1.00E+00
leukocyte chemotaxis (GO:0030595)	3	0	0.11	-	 < 0.01	1.00E+00
neutrophil chemotaxis (GO:0030593)	3	0	0.11	-	 < 0.01	1.00E+00
oogenesis (GO:0048477)	7	0	0.25	-	 < 0.01	1.00E+00
secondary alcohol biosynthetic process (GO:1902653)	7	0	0.25	-	 < 0.01	1.00E+00
secondary alcohol metabolic process (GO:1902652)	17	0	0.6	-	 < 0.01	1.00E+00
execution phase of apoptosis (GO:0097194)	8	0	0.28	-	 < 0.01	1.00E+00
extrinsic apoptotic signaling pathway (GO:0097191)	12	0	0.42	-	 < 0.01	1.00E+00
positive regulation of protein secretion (GO:0050714)	1	0	0.04	-	 < 0.01	1.00E+00
poly(A)+ mRNA export from nucleus (GO:0016973)	12	0	0.42	-	 < 0.01	1.00E+00
feeding behavior (GO:0007631)	4	0	0.14	-	 < 0.01	1.00E+00
amelogenesis (GO:0097186)	2	0	0.07	-	 < 0.01	1.00E+00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of protein secretion (GO:0050708)	7	0	0.25	-	 < 0.01	1.00E+00
erythrocyte differentiation (GO:0030218)	5	0	0.18	-	 < 0.01	1.00E+00
T cell differentiation (GO:0030217)	6	0	0.21	-	 < 0.01	1.00E+00
Rac protein signal transduction (GO:0016601)	2	0	0.07	-	 < 0.01	1.00E+00
circadian rhythm (GO:0007623)	23	0	0.81	-	 < 0.01	1.00E+00
glutamate metabolic process (GO:0006536)	2	0	0.07	-	 < 0.01	1.00E+00
Golgi to vacuole transport (GO:0006896)	6	0	0.21	-	 < 0.01	1.00E+00
Golgi to endosome transport (GO:0006895)	1	0	0.04	-	 < 0.01	1.00E+00
aspartate metabolic process (GO:0006531)	1	0	0.04	-	 < 0.01	1.00E+00
intra-Golgi vesicle-mediated transport (GO:0006891)	16	0	0.57	-	 < 0.01	1.00E+00
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)"	18	0	0.64	-	 < 0.01	1.00E+00
cytoplasmic translational initiation (GO:0002183)	9	0	0.32	-	 < 0.01	1.00E+00
cytoplasmic translation (GO:0002181)	29	0	1.03	-	 < 0.01	6.25E-01
cellular response to lipid (GO:0071396)	24	0	0.85	-	 < 0.01	1.00E+00
behavior (GO:0007610)	7	0	0.25	-	 < 0.01	1.00E+00
arginine metabolic process (GO:0006525)	11	0	0.39	-	 < 0.01	1.00E+00
regulation of protein stability (GO:0031647)	18	0	0.64	-	 < 0.01	1.00E+00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	17	0	0.6	-	 < 0.01	1.00E+00
regulation of hemopoiesis (GO:1903706)	7	0	0.25	-	 < 0.01	1.00E+00
sensory perception of chemical stimulus (GO:0007606)	4	0	0.14	-	 < 0.01	1.00E+00
sensory perception of sound (GO:0007605)	12	0	0.42	-	 < 0.01	1.00E+00
cellular response to steroid hormone stimulus (GO:0071383)	7	0	0.25	-	 < 0.01	1.00E+00
mitotic DNA replication initiation (GO:1902975)	6	0	0.21	-	 < 0.01	1.00E+00
intracellular iron ion homeostasis (GO:0006879)	5	0	0.18	-	 < 0.01	1.00E+00
organic hydroxy compound transport (GO:0015850)	28	0	0.99	-	 < 0.01	6.25E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	0.18	-	 < 0.01	1.00E+00
zymogen activation (GO:0031638)	6	0	0.21	-	 < 0.01	1.00E+00
protein monoubiquitination (GO:0006513)	7	0	0.25	-	 < 0.01	1.00E+00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	25	0	0.88	-	 < 0.01	1.00E+00
regulation of membrane depolarization (GO:0003254)	6	0	0.21	-	 < 0.01	1.00E+00
negative regulation of protein depolymerization (GO:1901880)	24	0	0.85	-	 < 0.01	1.00E+00
mitotic DNA replication (GO:1902969)	9	0	0.32	-	 < 0.01	1.00E+00
cellular response to peptide hormone stimulus (GO:0071375)	31	0	1.1	-	 < 0.01	6.27E-01
proton transmembrane transport (GO:1902600)	14	0	0.5	-	 < 0.01	1.00E+00
membrane protein ectodomain proteolysis (GO:0006509)	9	0	0.32	-	 < 0.01	1.00E+00
cell fate commitment (GO:0045165)	60	0	2.12	-	 < 0.01	2.77E-01
GPI anchor biosynthetic process (GO:0006506)	17	0	0.6	-	 < 0.01	1.00E+00
axonemal dynein complex assembly (GO:0070286)	11	0	0.39	-	 < 0.01	1.00E+00
regulation of protein depolymerization (GO:1901879)	30	0	1.06	-	 < 0.01	6.26E-01
GPI anchor metabolic process (GO:0006505)	18	0	0.64	-	 < 0.01	1.00E+00
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	0	0.64	-	 < 0.01	1.00E+00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	6	0	0.21	-	 < 0.01	1.00E+00
protein sumoylation (GO:0016925)	13	0	0.46	-	 < 0.01	1.00E+00
peptide transport (GO:0015833)	5	0	0.18	-	 < 0.01	1.00E+00
oligopeptide transport (GO:0006857)	2	0	0.07	-	 < 0.01	1.00E+00
tissue remodeling (GO:0048771)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of B cell proliferation (GO:0030888)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of centriole replication (GO:0046599)	4	0	0.14	-	 < 0.01	1.00E+00
intracellular receptor signaling pathway (GO:0030522)	13	0	0.46	-	 < 0.01	1.00E+00
axoneme assembly (GO:0035082)	15	0	0.53	-	 < 0.01	1.00E+00
cellular response to tumor necrosis factor (GO:0071356)	7	0	0.25	-	 < 0.01	1.00E+00
homologous chromosome segregation (GO:0045143)	7	0	0.25	-	 < 0.01	1.00E+00
leucine transport (GO:0015820)	1	0	0.04	-	 < 0.01	1.00E+00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	0.07	-	 < 0.01	1.00E+00
negative regulation of BMP signaling pathway (GO:0030514)	22	0	0.78	-	 < 0.01	1.00E+00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	18	0	0.64	-	 < 0.01	1.00E+00
regulation of BMP signaling pathway (GO:0030510)	29	0	1.03	-	 < 0.01	6.25E-01
regulation of lipase activity (GO:0060191)	1	0	0.04	-	 < 0.01	1.00E+00
glycine transport (GO:0015816)	3	0	0.11	-	 < 0.01	1.00E+00
meiotic chromosome segregation (GO:0045132)	10	0	0.35	-	 < 0.01	1.00E+00
aspartate transmembrane transport (GO:0015810)	10	0	0.35	-	 < 0.01	1.00E+00
inner dynein arm assembly (GO:0036159)	4	0	0.14	-	 < 0.01	1.00E+00
outer dynein arm assembly (GO:0036158)	5	0	0.18	-	 < 0.01	1.00E+00
dicarboxylic acid transport (GO:0006835)	18	0	0.64	-	 < 0.01	1.00E+00
water transport (GO:0006833)	7	0	0.25	-	 < 0.01	1.00E+00
BMP signaling pathway (GO:0030509)	17	0	0.6	-	 < 0.01	1.00E+00
glucan metabolic process (GO:0044042)	6	0	0.21	-	 < 0.01	1.00E+00
cortical actin cytoskeleton organization (GO:0030866)	14	0	0.5	-	 < 0.01	1.00E+00
cortical cytoskeleton organization (GO:0030865)	20	0	0.71	-	 < 0.01	1.00E+00
L-amino acid transport (GO:0015807)	18	0	0.64	-	 < 0.01	1.00E+00
protein localization to extracellular region (GO:0071692)	21	0	0.74	-	 < 0.01	1.00E+00
neutral amino acid transport (GO:0015804)	20	0	0.71	-	 < 0.01	1.00E+00
branched-chain amino acid transport (GO:0015803)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of bone resorption (GO:0045124)	4	0	0.14	-	 < 0.01	1.00E+00
basic amino acid transport (GO:0015802)	2	0	0.07	-	 < 0.01	1.00E+00
acidic amino acid transport (GO:0015800)	8	0	0.28	-	 < 0.01	1.00E+00
iron ion transport (GO:0006826)	14	0	0.5	-	 < 0.01	1.00E+00
regulation of epithelial cell differentiation (GO:0030856)	7	0	0.25	-	 < 0.01	1.00E+00
protein neddylation (GO:0045116)	8	0	0.28	-	 < 0.01	1.00E+00
defense response to other organism (GO:0098542)	34	0	1.2	-	 < 0.01	6.33E-01
phosphate ion transport (GO:0006817)	9	0	0.32	-	 < 0.01	1.00E+00
protein localization to cytoskeleton (GO:0044380)	9	0	0.32	-	 < 0.01	1.00E+00
