PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.dxy.50000kb.genenames_filtered.txt (187)	pyrr.dxy.50000kb.genenames_filtered.txt (expected)	pyrr.dxy.50000kb.genenames_filtered.txt (over/under)	pyrr.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
intraciliary retrograde transport (GO:0035721)	6	0	0.09	-	 < 0.01	1.00E+00
acrosome reaction (GO:0007340)	1	0	0.01	-	 < 0.01	1.00E+00
DNA metabolic process (GO:0006259)	261	0	3.83	-	 < 0.01	3.52E-02
carbohydrate derivative transport (GO:1901264)	24	0	0.35	-	 < 0.01	1.00E+00
RNA destabilization (GO:0050779)	27	0	0.4	-	 < 0.01	1.00E+00
positive regulation of axonogenesis (GO:0050772)	7	0	0.1	-	 < 0.01	1.00E+00
mitochondrial RNA processing (GO:0000963)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of TORC1 signaling (GO:1903432)	18	0	0.26	-	 < 0.01	1.00E+00
cGMP-mediated signaling (GO:0019934)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of axonogenesis (GO:0050770)	15	0	0.22	-	 < 0.01	1.00E+00
binding of sperm to zona pellucida (GO:0007339)	2	0	0.03	-	 < 0.01	1.00E+00
bone mineralization (GO:0030282)	1	0	0.01	-	 < 0.01	1.00E+00
single fertilization (GO:0007338)	7	0	0.1	-	 < 0.01	1.00E+00
endocytic recycling (GO:0032456)	31	0	0.46	-	 < 0.01	1.00E+00
regulation of neuronal synaptic plasticity (GO:0048168)	8	0	0.12	-	 < 0.01	1.00E+00
cellular response to unfolded protein (GO:0034620)	20	0	0.29	-	 < 0.01	1.00E+00
mitochondrial protein processing (GO:0034982)	4	0	0.06	-	 < 0.01	1.00E+00
positive regulation of neurogenesis (GO:0050769)	24	0	0.35	-	 < 0.01	1.00E+00
mitochondrial RNA metabolic process (GO:0000959)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of neurogenesis (GO:0050767)	38	0	0.56	-	 < 0.01	1.00E+00
nuclear-transcribed mRNA catabolic process (GO:0000956)	48	0	0.7	-	 < 0.01	1.00E+00
regulation of canonical Wnt signaling pathway (GO:0060828)	43	0	0.63	-	 < 0.01	1.00E+00
negative regulation of cAMP-mediated signaling (GO:0043951)	2	0	0.03	-	 < 0.01	1.00E+00
polyamine biosynthetic process (GO:0006596)	6	0	0.09	-	 < 0.01	1.00E+00
polyamine metabolic process (GO:0006595)	7	0	0.1	-	 < 0.01	1.00E+00
response to tumor necrosis factor (GO:0034612)	7	0	0.1	-	 < 0.01	1.00E+00
lipid storage (GO:0019915)	4	0	0.06	-	 < 0.01	1.00E+00
melanosome organization (GO:0032438)	7	0	0.1	-	 < 0.01	1.00E+00
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	17	0	0.25	-	 < 0.01	1.00E+00
regulation of cAMP-mediated signaling (GO:0043949)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	24	0	0.35	-	 < 0.01	1.00E+00
positive regulation of defense response (GO:0031349)	19	0	0.28	-	 < 0.01	1.00E+00
negative regulation of defense response (GO:0031348)	11	0	0.16	-	 < 0.01	1.00E+00
regulation of defense response (GO:0031347)	33	0	0.48	-	 < 0.01	1.00E+00
cellular response to heat (GO:0034605)	5	0	0.07	-	 < 0.01	1.00E+00
catecholamine metabolic process (GO:0006584)	6	0	0.09	-	 < 0.01	1.00E+00
pyrimidine nucleotide metabolic process (GO:0006220)	12	0	0.18	-	 < 0.01	1.00E+00
regulation of cell killing (GO:0031341)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of RNA biosynthetic process (GO:1902679)	164	0	2.41	-	 < 0.01	1.81E-01
monocarboxylic acid metabolic process (GO:0032787)	115	0	1.69	-	 < 0.01	4.20E-01
protein-DNA complex assembly (GO:0065004)	33	0	0.48	-	 < 0.01	1.00E+00
"positive regulation of DNA-templated transcription, elongation (GO:0032786)"	11	0	0.16	-	 < 0.01	1.00E+00
regulation of DNA-templated transcription elongation (GO:0032784)	15	0	0.22	-	 < 0.01	1.00E+00
biogenic amine metabolic process (GO:0006576)	18	0	0.26	-	 < 0.01	1.00E+00
cellular modified amino acid metabolic process (GO:0006575)	52	0	0.76	-	 < 0.01	1.00E+00
negative regulation of protein-containing complex assembly (GO:0031333)	24	0	0.35	-	 < 0.01	1.00E+00
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	2	0	0.03	-	 < 0.01	1.00E+00
positive regulation of cellular catabolic process (GO:0031331)	47	0	0.69	-	 < 0.01	1.00E+00
tyrosine metabolic process (GO:0006570)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of cellular catabolic process (GO:0031330)	29	0	0.43	-	 < 0.01	1.00E+00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	12	0	0.18	-	 < 0.01	1.00E+00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	16	0	0.23	-	 < 0.01	1.00E+00
non-canonical NF-kappaB signal transduction (GO:0038061)	4	0	0.06	-	 < 0.01	1.00E+00
carbohydrate homeostasis (GO:0033500)	9	0	0.13	-	 < 0.01	1.00E+00
lysosome localization (GO:0032418)	5	0	0.07	-	 < 0.01	1.00E+00
RNA biosynthetic process (GO:0032774)	91	0	1.34	-	 < 0.01	6.46E-01
COPII-coated vesicle budding (GO:0090114)	11	0	0.16	-	 < 0.01	1.00E+00
pyrimidine nucleobase catabolic process (GO:0006208)	5	0	0.07	-	 < 0.01	1.00E+00
pyrimidine nucleobase metabolic process (GO:0006206)	9	0	0.13	-	 < 0.01	1.00E+00
negative regulation of cellular biosynthetic process (GO:0031327)	301	0	4.42	-	 < 0.01	2.45E-02
negative regulation of cellular metabolic process (GO:0031324)	377	0	5.54	-	 < 0.01	7.25E-03
negative regulation of inflammatory response (GO:0050728)	8	0	0.12	-	 < 0.01	1.00E+00
regulation of inflammatory response (GO:0050727)	9	0	0.13	-	 < 0.01	1.00E+00
actomyosin contractile ring assembly (GO:0000915)	5	0	0.07	-	 < 0.01	1.00E+00
leukocyte chemotaxis (GO:0030595)	3	0	0.04	-	 < 0.01	1.00E+00
cytokinesis (GO:0000910)	33	0	0.48	-	 < 0.01	1.00E+00
neutrophil chemotaxis (GO:0030593)	3	0	0.04	-	 < 0.01	1.00E+00
oogenesis (GO:0048477)	9	0	0.13	-	 < 0.01	1.00E+00
secondary alcohol biosynthetic process (GO:1902653)	7	0	0.1	-	 < 0.01	1.00E+00
secondary alcohol metabolic process (GO:1902652)	17	0	0.25	-	 < 0.01	1.00E+00
execution phase of apoptosis (GO:0097194)	8	0	0.12	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway (GO:0097193)	19	0	0.28	-	 < 0.01	1.00E+00
extrinsic apoptotic signaling pathway (GO:0097191)	12	0	0.18	-	 < 0.01	1.00E+00
apoptotic signaling pathway (GO:0097190)	31	0	0.46	-	 < 0.01	1.00E+00
positive regulation of protein secretion (GO:0050714)	1	0	0.01	-	 < 0.01	1.00E+00
poly(A)+ mRNA export from nucleus (GO:0016973)	12	0	0.18	-	 < 0.01	1.00E+00
feeding behavior (GO:0007631)	4	0	0.06	-	 < 0.01	1.00E+00
amelogenesis (GO:0097186)	2	0	0.03	-	 < 0.01	1.00E+00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	1	0	0.01	-	 < 0.01	1.00E+00
regulation of protein secretion (GO:0050708)	7	0	0.1	-	 < 0.01	1.00E+00
erythrocyte differentiation (GO:0030218)	5	0	0.07	-	 < 0.01	1.00E+00
T cell differentiation (GO:0030217)	6	0	0.09	-	 < 0.01	1.00E+00
Rac protein signal transduction (GO:0016601)	3	0	0.04	-	 < 0.01	1.00E+00
circadian rhythm (GO:0007623)	23	0	0.34	-	 < 0.01	1.00E+00
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	17	0	0.25	-	 < 0.01	1.00E+00
glutamate metabolic process (GO:0006536)	2	0	0.03	-	 < 0.01	1.00E+00
Golgi to vacuole transport (GO:0006896)	6	0	0.09	-	 < 0.01	1.00E+00
Golgi to endosome transport (GO:0006895)	1	0	0.01	-	 < 0.01	1.00E+00
Golgi to plasma membrane transport (GO:0006893)	25	0	0.37	-	 < 0.01	1.00E+00
aspartate metabolic process (GO:0006531)	1	0	0.01	-	 < 0.01	1.00E+00
post-Golgi vesicle-mediated transport (GO:0006892)	37	0	0.54	-	 < 0.01	1.00E+00
intra-Golgi vesicle-mediated transport (GO:0006891)	21	0	0.31	-	 < 0.01	1.00E+00
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)"	20	0	0.29	-	 < 0.01	1.00E+00
glycosaminoglycan metabolic process (GO:0030203)	23	0	0.34	-	 < 0.01	1.00E+00
cytoplasmic translational initiation (GO:0002183)	9	0	0.13	-	 < 0.01	1.00E+00
cytoplasmic translation (GO:0002181)	29	0	0.43	-	 < 0.01	1.00E+00
cellular response to lipid (GO:0071396)	24	0	0.35	-	 < 0.01	1.00E+00
behavior (GO:0007610)	7	0	0.1	-	 < 0.01	1.00E+00
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	61	0	0.9	-	 < 0.01	1.00E+00
arginine metabolic process (GO:0006525)	11	0	0.16	-	 < 0.01	1.00E+00
regulation of protein stability (GO:0031647)	18	0	0.26	-	 < 0.01	1.00E+00
amino acid metabolic process (GO:0006520)	110	0	1.62	-	 < 0.01	4.15E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	17	0	0.25	-	 < 0.01	1.00E+00
negative regulation of molecular function (GO:0044092)	89	0	1.31	-	 < 0.01	6.44E-01
sensory perception of sound (GO:0007605)	12	0	0.18	-	 < 0.01	1.00E+00
cellular response to steroid hormone stimulus (GO:0071383)	7	0	0.1	-	 < 0.01	1.00E+00
visual perception (GO:0007601)	20	0	0.29	-	 < 0.01	1.00E+00
mitotic DNA replication initiation (GO:1902975)	6	0	0.09	-	 < 0.01	1.00E+00
intracellular iron ion homeostasis (GO:0006879)	5	0	0.07	-	 < 0.01	1.00E+00
organic hydroxy compound transport (GO:0015850)	28	0	0.41	-	 < 0.01	1.00E+00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	0.07	-	 < 0.01	1.00E+00
zymogen activation (GO:0031638)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of cell junction assembly (GO:1901888)	15	0	0.22	-	 < 0.01	1.00E+00
protein monoubiquitination (GO:0006513)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	25	0	0.37	-	 < 0.01	1.00E+00
regulation of membrane depolarization (GO:0003254)	6	0	0.09	-	 < 0.01	1.00E+00
ubiquitin-dependent protein catabolic process (GO:0006511)	208	0	3.05	-	 < 0.01	7.88E-02
positive regulation of cellular component biogenesis (GO:0044089)	46	0	0.68	-	 < 0.01	1.00E+00
regulation of cellular component biogenesis (GO:0044087)	120	0	1.76	-	 < 0.01	4.27E-01
negative regulation of protein depolymerization (GO:1901880)	24	0	0.35	-	 < 0.01	1.00E+00
mitotic DNA replication (GO:1902969)	9	0	0.13	-	 < 0.01	1.00E+00
cellular response to peptide hormone stimulus (GO:0071375)	31	0	0.46	-	 < 0.01	1.00E+00
proton transmembrane transport (GO:1902600)	14	0	0.21	-	 < 0.01	1.00E+00
membrane protein ectodomain proteolysis (GO:0006509)	9	0	0.13	-	 < 0.01	1.00E+00
cell fate commitment (GO:0045165)	61	0	0.9	-	 < 0.01	1.00E+00
GPI anchor biosynthetic process (GO:0006506)	18	0	0.26	-	 < 0.01	1.00E+00
regulation of protein depolymerization (GO:1901879)	30	0	0.44	-	 < 0.01	1.00E+00
GPI anchor metabolic process (GO:0006505)	19	0	0.28	-	 < 0.01	1.00E+00
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	0	0.26	-	 < 0.01	1.00E+00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	6	0	0.09	-	 < 0.01	1.00E+00
protein sumoylation (GO:0016925)	13	0	0.19	-	 < 0.01	1.00E+00
peptide transport (GO:0015833)	5	0	0.07	-	 < 0.01	1.00E+00
oligopeptide transport (GO:0006857)	2	0	0.03	-	 < 0.01	1.00E+00
tissue remodeling (GO:0048771)	1	0	0.01	-	 < 0.01	1.00E+00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	17	0	0.25	-	 < 0.01	1.00E+00
regulation of B cell proliferation (GO:0030888)	3	0	0.04	-	 < 0.01	1.00E+00
regulation of centriole replication (GO:0046599)	4	0	0.06	-	 < 0.01	1.00E+00
intracellular receptor signaling pathway (GO:0030522)	13	0	0.19	-	 < 0.01	1.00E+00
cellular response to tumor necrosis factor (GO:0071356)	7	0	0.1	-	 < 0.01	1.00E+00
homologous chromosome segregation (GO:0045143)	7	0	0.1	-	 < 0.01	1.00E+00
tricarboxylic acid transport (GO:0006842)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of system process (GO:0044057)	39	0	0.57	-	 < 0.01	1.00E+00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of BMP signaling pathway (GO:0030514)	22	0	0.32	-	 < 0.01	1.00E+00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	20	0	0.29	-	 < 0.01	1.00E+00
regulation of BMP signaling pathway (GO:0030510)	29	0	0.43	-	 < 0.01	1.00E+00
regulation of lipase activity (GO:0060191)	1	0	0.01	-	 < 0.01	1.00E+00
mitochondrial transport (GO:0006839)	45	0	0.66	-	 < 0.01	1.00E+00
meiotic chromosome segregation (GO:0045132)	11	0	0.16	-	 < 0.01	1.00E+00
aspartate transmembrane transport (GO:0015810)	10	0	0.15	-	 < 0.01	1.00E+00
outer dynein arm assembly (GO:0036158)	5	0	0.07	-	 < 0.01	1.00E+00
dicarboxylic acid transport (GO:0006835)	18	0	0.26	-	 < 0.01	1.00E+00
protein-RNA complex assembly (GO:0022618)	71	0	1.04	-	 < 0.01	6.29E-01
BMP signaling pathway (GO:0030509)	17	0	0.25	-	 < 0.01	1.00E+00
glucan metabolic process (GO:0044042)	6	0	0.09	-	 < 0.01	1.00E+00
cortical actin cytoskeleton organization (GO:0030866)	16	0	0.23	-	 < 0.01	1.00E+00
cortical cytoskeleton organization (GO:0030865)	23	0	0.34	-	 < 0.01	1.00E+00
protein localization to extracellular region (GO:0071692)	22	0	0.32	-	 < 0.01	1.00E+00
regulation of bone resorption (GO:0045124)	4	0	0.06	-	 < 0.01	1.00E+00
basic amino acid transport (GO:0015802)	2	0	0.03	-	 < 0.01	1.00E+00
acidic amino acid transport (GO:0015800)	8	0	0.12	-	 < 0.01	1.00E+00
iron ion transport (GO:0006826)	15	0	0.22	-	 < 0.01	1.00E+00
chloride transport (GO:0006821)	38	0	0.56	-	 < 0.01	1.00E+00
monoatomic anion transport (GO:0006820)	45	0	0.66	-	 < 0.01	1.00E+00
regulation of epithelial cell differentiation (GO:0030856)	7	0	0.1	-	 < 0.01	1.00E+00
epithelial cell differentiation (GO:0030855)	20	0	0.29	-	 < 0.01	1.00E+00
glial cell differentiation (GO:0010001)	17	0	0.25	-	 < 0.01	1.00E+00
cardiac muscle tissue development (GO:0048738)	14	0	0.21	-	 < 0.01	1.00E+00
protein neddylation (GO:0045116)	8	0	0.12	-	 < 0.01	1.00E+00
phosphate ion transport (GO:0006817)	9	0	0.13	-	 < 0.01	1.00E+00
striated muscle tissue development (GO:0014706)	15	0	0.22	-	 < 0.01	1.00E+00
protein localization to cytoskeleton (GO:0044380)	9	0	0.13	-	 < 0.01	1.00E+00
