PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.fst.csv (60)	intersection.fst.csv (expected)	intersection.fst.csv (over/under)	intersection.fst.csv (fold Enrichment)	P-value
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	24	0	0.12	-	 < 0.01	1.00E+00
positive regulation of defense response (GO:0031349)	18	0	0.09	-	 < 0.01	1.00E+00
cellular response to heat (GO:0034605)	5	0	0.02	-	 < 0.01	1.00E+00
catecholamine metabolic process (GO:0006584)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of cell projection organization (GO:0031344)	69	0	0.33	-	 < 0.01	1.00E+00
pyrimidine nucleotide metabolic process (GO:0006220)	12	0	0.06	-	 < 0.01	1.00E+00
regulation of cell killing (GO:0031341)	2	0	0.01	-	 < 0.01	1.00E+00
lipid modification (GO:0030258)	66	0	0.32	-	 < 0.01	1.00E+00
monocarboxylic acid metabolic process (GO:0032787)	115	0	0.56	-	 < 0.01	1.00E+00
protein-DNA complex assembly (GO:0065004)	32	0	0.15	-	 < 0.01	1.00E+00
"positive regulation of DNA-templated transcription, elongation (GO:0032786)"	10	0	0.05	-	 < 0.01	1.00E+00
protein-containing complex assembly (GO:0065003)	193	0	0.93	-	 < 0.01	1.00E+00
intracellular protein transmembrane transport (GO:0065002)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of DNA-templated transcription elongation (GO:0032784)	14	0	0.07	-	 < 0.01	1.00E+00
protein-containing complex organization (GO:0043933)	336	0	1.62	-	 < 0.01	4.13E-01
biogenic amine metabolic process (GO:0006576)	18	0	0.09	-	 < 0.01	1.00E+00
cellular modified amino acid metabolic process (GO:0006575)	52	0	0.25	-	 < 0.01	1.00E+00
negative regulation of protein-containing complex assembly (GO:0031333)	24	0	0.12	-	 < 0.01	1.00E+00
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	2	0	0.01	-	 < 0.01	1.00E+00
positive regulation of cellular catabolic process (GO:0031331)	47	0	0.23	-	 < 0.01	1.00E+00
tyrosine metabolic process (GO:0006570)	6	0	0.03	-	 < 0.01	1.00E+00
negative regulation of cellular catabolic process (GO:0031330)	27	0	0.13	-	 < 0.01	1.00E+00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	12	0	0.06	-	 < 0.01	1.00E+00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	16	0	0.08	-	 < 0.01	1.00E+00
non-canonical NF-kappaB signal transduction (GO:0038061)	4	0	0.02	-	 < 0.01	1.00E+00
carbohydrate homeostasis (GO:0033500)	9	0	0.04	-	 < 0.01	1.00E+00
lysosome localization (GO:0032418)	5	0	0.02	-	 < 0.01	1.00E+00
synaptic vesicle transport (GO:0048489)	10	0	0.05	-	 < 0.01	1.00E+00
RNA biosynthetic process (GO:0032774)	89	0	0.43	-	 < 0.01	1.00E+00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	42	0	0.2	-	 < 0.01	1.00E+00
positive regulation of transporter activity (GO:0032411)	12	0	0.06	-	 < 0.01	1.00E+00
COPII-coated vesicle budding (GO:0090114)	11	0	0.05	-	 < 0.01	1.00E+00
pyrimidine nucleobase catabolic process (GO:0006208)	5	0	0.02	-	 < 0.01	1.00E+00
pyrimidine nucleobase metabolic process (GO:0006206)	9	0	0.04	-	 < 0.01	1.00E+00
regulation of cellular catabolic process (GO:0031329)	97	0	0.47	-	 < 0.01	1.00E+00
organic substance catabolic process (GO:1901575)	535	0	2.58	-	 < 0.01	1.14E-01
negative regulation of inflammatory response (GO:0050728)	8	0	0.04	-	 < 0.01	1.00E+00
regulation of inflammatory response (GO:0050727)	9	0	0.04	-	 < 0.01	1.00E+00
myofibril assembly (GO:0030239)	26	0	0.13	-	 < 0.01	1.00E+00
actomyosin contractile ring assembly (GO:0000915)	4	0	0.02	-	 < 0.01	1.00E+00
leukocyte chemotaxis (GO:0030595)	3	0	0.01	-	 < 0.01	1.00E+00
cytokinesis (GO:0000910)	32	0	0.15	-	 < 0.01	1.00E+00
neutrophil chemotaxis (GO:0030593)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of transporter activity (GO:0032409)	44	0	0.21	-	 < 0.01	1.00E+00
oogenesis (GO:0048477)	7	0	0.03	-	 < 0.01	1.00E+00
secondary alcohol biosynthetic process (GO:1902653)	7	0	0.03	-	 < 0.01	1.00E+00
secondary alcohol metabolic process (GO:1902652)	17	0	0.08	-	 < 0.01	1.00E+00
organonitrogen compound catabolic process (GO:1901565)	393	0	1.9	-	 < 0.01	2.66E-01
execution phase of apoptosis (GO:0097194)	8	0	0.04	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway (GO:0097193)	18	0	0.09	-	 < 0.01	1.00E+00
extrinsic apoptotic signaling pathway (GO:0097191)	12	0	0.06	-	 < 0.01	1.00E+00
positive regulation of protein secretion (GO:0050714)	1	0	0	-	 < 0.01	1.00E+00
poly(A)+ mRNA export from nucleus (GO:0016973)	12	0	0.06	-	 < 0.01	1.00E+00
feeding behavior (GO:0007631)	4	0	0.02	-	 < 0.01	1.00E+00
cellular response to nutrient levels (GO:0031669)	27	0	0.13	-	 < 0.01	1.00E+00
cellular response to extracellular stimulus (GO:0031668)	27	0	0.13	-	 < 0.01	1.00E+00
response to nutrient levels (GO:0031667)	37	0	0.18	-	 < 0.01	1.00E+00
amelogenesis (GO:0097186)	2	0	0.01	-	 < 0.01	1.00E+00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	1	0	0	-	 < 0.01	1.00E+00
regulation of protein secretion (GO:0050708)	7	0	0.03	-	 < 0.01	1.00E+00
erythrocyte differentiation (GO:0030218)	5	0	0.02	-	 < 0.01	1.00E+00
T cell differentiation (GO:0030217)	6	0	0.03	-	 < 0.01	1.00E+00
Rac protein signal transduction (GO:0016601)	2	0	0.01	-	 < 0.01	1.00E+00
circadian rhythm (GO:0007623)	23	0	0.11	-	 < 0.01	1.00E+00
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	17	0	0.08	-	 < 0.01	1.00E+00
receptor-mediated endocytosis (GO:0006898)	32	0	0.15	-	 < 0.01	1.00E+00
glutamate metabolic process (GO:0006536)	2	0	0.01	-	 < 0.01	1.00E+00
Golgi to endosome transport (GO:0006895)	1	0	0	-	 < 0.01	1.00E+00
aspartate metabolic process (GO:0006531)	1	0	0	-	 < 0.01	1.00E+00
intra-Golgi vesicle-mediated transport (GO:0006891)	16	0	0.08	-	 < 0.01	1.00E+00
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)"	18	0	0.09	-	 < 0.01	1.00E+00
glycosaminoglycan metabolic process (GO:0030203)	23	0	0.11	-	 < 0.01	1.00E+00
cytoplasmic translational initiation (GO:0002183)	9	0	0.04	-	 < 0.01	1.00E+00
cytoplasmic translation (GO:0002181)	29	0	0.14	-	 < 0.01	1.00E+00
cellular response to lipid (GO:0071396)	24	0	0.12	-	 < 0.01	1.00E+00
behavior (GO:0007610)	7	0	0.03	-	 < 0.01	1.00E+00
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	0	0.28	-	 < 0.01	1.00E+00
arginine metabolic process (GO:0006525)	11	0	0.05	-	 < 0.01	1.00E+00
intracellular protein transport (GO:0006886)	169	0	0.82	-	 < 0.01	1.00E+00
regulation of protein stability (GO:0031647)	18	0	0.09	-	 < 0.01	1.00E+00
regulation of pH (GO:0006885)	29	0	0.14	-	 < 0.01	1.00E+00
amino acid metabolic process (GO:0006520)	110	0	0.53	-	 < 0.01	1.00E+00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of hemopoiesis (GO:1903706)	7	0	0.03	-	 < 0.01	1.00E+00
negative regulation of molecular function (GO:0044092)	87	0	0.42	-	 < 0.01	1.00E+00
sensory perception of chemical stimulus (GO:0007606)	4	0	0.02	-	 < 0.01	1.00E+00
sensory perception of sound (GO:0007605)	12	0	0.06	-	 < 0.01	1.00E+00
cellular response to steroid hormone stimulus (GO:0071383)	7	0	0.03	-	 < 0.01	1.00E+00
visual perception (GO:0007601)	20	0	0.1	-	 < 0.01	1.00E+00
mitotic DNA replication initiation (GO:1902975)	6	0	0.03	-	 < 0.01	1.00E+00
sensory perception (GO:0007600)	41	0	0.2	-	 < 0.01	1.00E+00
peptide metabolic process (GO:0006518)	178	0	0.86	-	 < 0.01	1.00E+00
intracellular iron ion homeostasis (GO:0006879)	5	0	0.02	-	 < 0.01	1.00E+00
organic hydroxy compound transport (GO:0015850)	28	0	0.14	-	 < 0.01	1.00E+00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	5	0	0.02	-	 < 0.01	1.00E+00
zymogen activation (GO:0031638)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of cell junction assembly (GO:1901888)	15	0	0.07	-	 < 0.01	1.00E+00
protein monoubiquitination (GO:0006513)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	25	0	0.12	-	 < 0.01	1.00E+00
intracellular calcium ion homeostasis (GO:0006874)	55	0	0.27	-	 < 0.01	1.00E+00
regulation of membrane depolarization (GO:0003254)	6	0	0.03	-	 < 0.01	1.00E+00
intracellular monoatomic ion homeostasis (GO:0006873)	112	0	0.54	-	 < 0.01	1.00E+00
ubiquitin-dependent protein catabolic process (GO:0006511)	204	0	0.98	-	 < 0.01	6.28E-01
positive regulation of cellular component biogenesis (GO:0044089)	44	0	0.21	-	 < 0.01	1.00E+00
regulation of cellular component biogenesis (GO:0044087)	118	0	0.57	-	 < 0.01	1.00E+00
negative regulation of protein depolymerization (GO:1901880)	24	0	0.12	-	 < 0.01	1.00E+00
mitotic DNA replication (GO:1902969)	9	0	0.04	-	 < 0.01	1.00E+00
cellular response to peptide hormone stimulus (GO:0071375)	31	0	0.15	-	 < 0.01	1.00E+00
organic acid transport (GO:0015849)	102	0	0.49	-	 < 0.01	1.00E+00
proton transmembrane transport (GO:1902600)	14	0	0.07	-	 < 0.01	1.00E+00
membrane protein ectodomain proteolysis (GO:0006509)	9	0	0.04	-	 < 0.01	1.00E+00
proteolysis (GO:0006508)	399	0	1.93	-	 < 0.01	2.67E-01
cell fate commitment (GO:0045165)	60	0	0.29	-	 < 0.01	1.00E+00
lipid transport (GO:0006869)	84	0	0.41	-	 < 0.01	1.00E+00
GPI anchor biosynthetic process (GO:0006506)	17	0	0.08	-	 < 0.01	1.00E+00
axonemal dynein complex assembly (GO:0070286)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of protein depolymerization (GO:1901879)	30	0	0.14	-	 < 0.01	1.00E+00
GPI anchor metabolic process (GO:0006505)	18	0	0.09	-	 < 0.01	1.00E+00
amino acid transport (GO:0006865)	60	0	0.29	-	 < 0.01	1.00E+00
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	0	0.09	-	 < 0.01	1.00E+00
receptor internalization (GO:0031623)	13	0	0.06	-	 < 0.01	1.00E+00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	6	0	0.03	-	 < 0.01	1.00E+00
protein sumoylation (GO:0016925)	13	0	0.06	-	 < 0.01	1.00E+00
cellular response to growth factor stimulus (GO:0071363)	85	0	0.41	-	 < 0.01	1.00E+00
peptide transport (GO:0015833)	5	0	0.02	-	 < 0.01	1.00E+00
oligopeptide transport (GO:0006857)	2	0	0.01	-	 < 0.01	1.00E+00
tissue remodeling (GO:0048771)	1	0	0	-	 < 0.01	1.00E+00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of B cell proliferation (GO:0030888)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of centriole replication (GO:0046599)	4	0	0.02	-	 < 0.01	1.00E+00
intracellular receptor signaling pathway (GO:0030522)	13	0	0.06	-	 < 0.01	1.00E+00
axoneme assembly (GO:0035082)	15	0	0.07	-	 < 0.01	1.00E+00
response to organic substance (GO:0010033)	261	0	1.26	-	 < 0.01	6.39E-01
cellular response to tumor necrosis factor (GO:0071356)	7	0	0.03	-	 < 0.01	1.00E+00
homologous chromosome segregation (GO:0045143)	7	0	0.03	-	 < 0.01	1.00E+00
mesenchymal cell differentiation (GO:0048762)	32	0	0.15	-	 < 0.01	1.00E+00
leucine transport (GO:0015820)	1	0	0	-	 < 0.01	1.00E+00
tricarboxylic acid transport (GO:0006842)	4	0	0.02	-	 < 0.01	1.00E+00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	0.01	-	 < 0.01	1.00E+00
negative regulation of BMP signaling pathway (GO:0030514)	22	0	0.11	-	 < 0.01	1.00E+00
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	18	0	0.09	-	 < 0.01	1.00E+00
regulation of BMP signaling pathway (GO:0030510)	29	0	0.14	-	 < 0.01	1.00E+00
cellular response to cytokine stimulus (GO:0071345)	61	0	0.29	-	 < 0.01	1.00E+00
regulation of lipase activity (GO:0060191)	1	0	0	-	 < 0.01	1.00E+00
glycine transport (GO:0015816)	3	0	0.01	-	 < 0.01	1.00E+00
meiotic chromosome segregation (GO:0045132)	10	0	0.05	-	 < 0.01	1.00E+00
aspartate transmembrane transport (GO:0015810)	10	0	0.05	-	 < 0.01	1.00E+00
inner dynein arm assembly (GO:0036159)	4	0	0.02	-	 < 0.01	1.00E+00
neurotransmitter transport (GO:0006836)	40	0	0.19	-	 < 0.01	1.00E+00
outer dynein arm assembly (GO:0036158)	5	0	0.02	-	 < 0.01	1.00E+00
dicarboxylic acid transport (GO:0006835)	18	0	0.09	-	 < 0.01	1.00E+00
water transport (GO:0006833)	7	0	0.03	-	 < 0.01	1.00E+00
protein-RNA complex assembly (GO:0022618)	70	0	0.34	-	 < 0.01	1.00E+00
BMP signaling pathway (GO:0030509)	17	0	0.08	-	 < 0.01	1.00E+00
glucan metabolic process (GO:0044042)	6	0	0.03	-	 < 0.01	1.00E+00
ribonucleoprotein complex biogenesis (GO:0022613)	180	0	0.87	-	 < 0.01	1.00E+00
cortical actin cytoskeleton organization (GO:0030866)	14	0	0.07	-	 < 0.01	1.00E+00
cortical cytoskeleton organization (GO:0030865)	20	0	0.1	-	 < 0.01	1.00E+00
signal release from synapse (GO:0099643)	37	0	0.18	-	 < 0.01	1.00E+00
peptidyl-amino acid modification (GO:0018193)	201	0	0.97	-	 < 0.01	1.00E+00
L-amino acid transport (GO:0015807)	18	0	0.09	-	 < 0.01	1.00E+00
protein localization to extracellular region (GO:0071692)	21	0	0.1	-	 < 0.01	1.00E+00
neutral amino acid transport (GO:0015804)	20	0	0.1	-	 < 0.01	1.00E+00
branched-chain amino acid transport (GO:0015803)	1	0	0	-	 < 0.01	1.00E+00
regulation of bone resorption (GO:0045124)	4	0	0.02	-	 < 0.01	1.00E+00
basic amino acid transport (GO:0015802)	2	0	0.01	-	 < 0.01	1.00E+00
acidic amino acid transport (GO:0015800)	8	0	0.04	-	 < 0.01	1.00E+00
iron ion transport (GO:0006826)	14	0	0.07	-	 < 0.01	1.00E+00
chloride transport (GO:0006821)	38	0	0.18	-	 < 0.01	1.00E+00
monoatomic anion transport (GO:0006820)	44	0	0.21	-	 < 0.01	1.00E+00
regulation of anatomical structure morphogenesis (GO:0022603)	83	0	0.4	-	 < 0.01	1.00E+00
glial cell differentiation (GO:0010001)	13	0	0.06	-	 < 0.01	1.00E+00
cardiac muscle tissue development (GO:0048738)	14	0	0.07	-	 < 0.01	1.00E+00
protein neddylation (GO:0045116)	8	0	0.04	-	 < 0.01	1.00E+00
defense response to other organism (GO:0098542)	34	0	0.16	-	 < 0.01	1.00E+00
phosphate ion transport (GO:0006817)	9	0	0.04	-	 < 0.01	1.00E+00
sodium ion transport (GO:0006814)	54	0	0.26	-	 < 0.01	1.00E+00
potassium ion transport (GO:0006813)	94	0	0.45	-	 < 0.01	1.00E+00
striated muscle tissue development (GO:0014706)	15	0	0.07	-	 < 0.01	1.00E+00
protein localization to cytoskeleton (GO:0044380)	9	0	0.04	-	 < 0.01	1.00E+00
